recipe_name,url,total_time,servings,ingredients,directions,img_src
Carrot Salad,https://tasty.co/recipe/carrot-salad,,,"4 large carrots | 2 tablespoons rice vinegar | 2 tablespoons soy sauce | 1 tablespoon sesame oil | 1 teaspoon sugar | 1 teaspoon chili oil, (or to taste) | 1 garlic clove, finely grated or minced | 2 tablespoons furikake seasoning","Start by thinly slicing the carrots on the diagonal using a vegetable peeler. Continue to do this until you can't slice anymore, then eat the scraps (or set aside to use in a different recipe). | Whisk together the rice vinegar, soy sauce, sesame oil, sugar, chili oil, and garlic in a bowl until well combined. | Toss the sliced carrots with the dressing in a large bowl. Add the furikake, and mix again. | Enjoy! | Busy? Plan your meals for the week using our exclusive meal planner tool in the Tasty app. Download now and get organized.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/525983.jpg?resize=300:*&output-format=jpg&output-quality=auto
Elote Shrimp Toast,https://tasty.co/recipe/elote-shrimp-toast,,,"1 ½ lb peeled, deveined shrimp, smashed and finely chopped | ¼ cup chopped fresh cilantro | 1 tablespoon cornstarch | ½ tablespoon fish sauce | 2 teaspoons sesame oil | 2 teaspoons ground cumin | 2 teaspoons chili powder | 2 teaspoons garlic powder | 2 teaspoons black pepper | 1 teaspoon kosher salt | 1 teaspoon sugar | 3 scallions, finely chopped | 1 large egg white | 2 fresh corn ears, husked | 1 tablespoon olive oil | Pinch of kosher salt | 8 white bread slices, crusts removed | 6 cups vegetable oil | Sriracha aioli (store-bought or homemade) | crumbled cotija cheese | chopped fresh cilantro","Make the shrimp: Toss together the shrimp, cilantro, cornstarch, fish sauce, sesame oil, cumin, chili powder, garlic powder, black pepper, salt, sugar, scallions, and egg white in a bowl until the mixture becomes sticky and is well combined. Set aside. | Drizzle the corn with the olive oil, and sprinkle with a pinch of salt. Preheat a gas grill over high heat to 400°F (200°C). Grill the corn, turning occasionally, until charred in spots, 8–10 minutes. Remove the corn from the grill, and let it cool for about 10 minutes. Slice the kernels from the cobs, and set aside. Discard cobs. | Spread a generous layer of the shrimp mixture on 1 side of 4 of the bread slices. Gently top with another slice of bread to help the mixture stick. | Heat the vegetable oil in a deep skillet or pot over medium-high heat to 350°F (175°C). | Working with 1 toast at a time, carefully lower the toast into the oil. Cook for 2–3 minutes per side, until golden brown and crispy. Drain on a wire rack or paper towels. | Top the fried shrimp toasts with the grilled corn kernels. Drizzle with Sriracha aioli, and sprinkle with cotija and cilantro. Serve hot. | Enjoy! | Ready for a smarter way to find recipes? Use Botatouille, our AI-powered food genius in the Tasty app. Download here",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/525793.jpg?resize=300:*&output-format=jpg&output-quality=auto
Cherry Vanilla Matcha Latte,https://tasty.co/recipe/cherry-vanilla-matcha-latte,,,⅓ cup hot water | 1 teaspoon matcha powder | ⅓ cup cherry vanilla syrup | 1 ½ cups crushed ice | ½ cup whole milk,"Whisk together the hot water and matcha in a small bowl until smooth and no clumps remain, 30–60 seconds. (A bamboo whisk works best, but a milk frother or small whisk also does the job.) Let cool slightly, 2–3 minutes. | Pour the cherry vanilla syrup into the bottom of a tall glass. Fill the glass with ice, then slowly pour the milk over the top. Gently pour the prepared matcha on top to create a layered look. | Stir before drinking, or enjoy the layered look. | Enjoy! | Cook smarter, not harder. Use our AI chef Botatouille on the Tasty app. Download now.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/525891.jpg?resize=300:*&output-format=jpg&output-quality=auto
Turkey Pesto Croffle Sandwiches,https://tasty.co/recipe/turkey-pesto-croffle-sandwiches,,,"2 frozen croissants, thawed at room temperature | 2 teaspoons pesto | 2 Colby cheese slices | 2 provolone cheese slices | ½ cup sliced roasted red bell peppers | 4 deli-style turkey breast slices | ¼ cup shredded Colby Jack or mozzarella cheese | Butter or cooking spray, for greasing","Preheat a nonstick waffle maker to medium-high heat. Lightly grease with butter or cooking spray. | Place 1 thawed croissant on the center of the waffle maker. Close the lid gently but firmly, and cook for 3–4 minutes, until golden, crispy, and cooked through. Repeat with the second croissant. | Transfer croffles to a cutting board, and cut each in half horizontally with a serrated knife. | Spread ½ teaspoon of pesto on each half of the croffle (1 teaspoon total per sandwich). Top each with 1 Colby cheese slice, ¼ cup roasted bell peppers, 2 turkey slices, 1 provolone cheese slice, and 2 tablespoons shredded Colby Jack cheese. Top with the remaining croffle halves. | Place 1 sandwich back on the waffle maker. Press the lid down gently, and cook for 1–2 minutes, until the cheese is melted and the filling is warmed through. Repeat with the second sandwich. Serve hot. | Enjoy! | Love this recipe? Download the Tasty app to save it and discover others like it.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/525566.jpg?resize=300:*&output-format=jpg&output-quality=auto
Mangonadas,https://tasty.co/recipe/mangonadas,,,"2 cups frozen mango chunks | 2 cups ice cubes | ¾ cup mango nectar | 3 tablespoons agave syrup | ¼ cup tequila | 2 tablespoons fresh lime juice (from about 1 large lime) | ¾ cup chamoy, divided | Tajín or chili-lime seasoning, for garnish and rimming | 1 large mango, finely diced | tamarind candy straws (such as Tarugos or Tamaroca)","Process the frozen mango, ice, mango nectar, agave syrup, tequila, and lime juice in a blender until the mixture is smooth and thick, 2–3 minutes, stopping to scrape down the sides of the blender as needed. (If you prefer a thicker drink consistency, freeze the frozen mixture for about 1 hour. This helps thicken it so you can layer it like a sorbet.) | Pour about ¼ cup of the chamoy onto a small plate, and 2 tablespoons Tajín onto another. Dip the rims of 2 glasses into the chamoy, then into the Tajín to coat. | Add 1–1½ tablespoons chamoy into the bottom of each glass. Top with about one-fourth of the mango puree and 2–3 tablespoons diced fresh mango. Repeat the layers 1 more time, creating a swirl of color and flavor. | Top with remaining fresh mango, another dash of chamoy and Tajín. Garnish with a tamarind candy straw for a classic mangonada touch. | Enjoy! | INSPIRED BY: https://cooking.nytimes.com/recipes/1020269-mangonada | RECIPE BY: Kelly Paige | Hate losing that perfect recipe? Save and organize recipes easily on the Tasty app. Download now.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
Copycat Sara Lee Cheesecake Bites,https://tasty.co/recipe/copycat-sara-lee-cheesecake-bites,,,"2 ½ cups graham cracker crumbs (about 3 sleeves of graham crackers) | 10 tablespoons unsalted butter, melted | ⅓ cup sugar | 16 oz cream cheese, softened | ½ cup sugar | ½ teaspoon vanilla extract | 2 large eggs, at room temperature | 1 cup milk chocolate chips | 1 tablespoon coconut oil","Make the graham cracker crust: Preheat the oven to 325°F (160°C). Line an 8-inch square baking dish with parchment paper. Stir together the graham cracker crumbs, melted butter, and sugar in a bowl. Scoop out 1 cup of the crumb mixture, and set aside. Press the remaining mixture into the bottom of the prepared baking dish. Set aside. | Make the cheesecake: Beat the cream cheese, sugar, and vanilla in a bowl until combined, 2–3 minutes. Add the eggs, 1 at a time, beating after each addition. Pour the mixture into the prepared crust. Sprinkle the reserved 1 cup crumb mixture over the cheesecake in an even layer, pressing it down lightly to adhere. | Bake for 40–50 minutes, until the center is puffed and firm. Remove from the oven, and let cool to room temperature, about 1 hour. Transfer to the refrigerator, and chill, uncovered, for 2 hours. | Cut the chilled cheesecake into 1-inch squares. (If desired, make the chocolate coating: Microwave the chocolate chips and coconut oil in a microwavable bowl on HIGH until melted and smooth, about 2 minutes, stopping to stir every 15 seconds. Dip the cheesecake squares into the melted chocolate mixture. Refrigerate until set, about 1 hour.) | Store in a freezer-safe container in the freezer for up to 5 days, and enjoy straight out of the freezer! | Enjoy! | Meal planning made easy with the Tasty app. Download now to see exclusive curated meal plans.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
Easy Cottage Cheese Pizza,https://tasty.co/recipe/easy-cottage-cheese-pizza,,,"extra-virgin olive oil, as needed | 2 cups full-fat cottage cheese | 2 ⅓ cups self-rising flour, plus more if needed | ¾ cup jarred marinara sauce | ½ cup frozen veggies | 3 cups shredded mozzarella cheese | ¼ cup grated parmesan cheese | ⅓ cup mini pepperoni slices","Preheat the oven to 450°F (230°C). Grease a 12 x 16-inch baking sheet with olive oil. | In a blender or food processor, process the cottage cheese until smooth, stopping to scrape down the sides as needed. | Transfer the blended cottage cheese to a large bowl. Add the self-rising flour. Knead until a smooth dough forms, 2–3 minutes, adding more flour as needed if the dough is too sticky. | Transfer the dough to the prepared baking sheet. Using oiled hands, spread the dough evenly to the edges of the sheet. | Bake in the preheated for 10–12 minutes, until slightly puffed and lightly browned on top. | Meanwhile, process the marinara sauce and frozen veggies in a blender or food processor until completely smooth, stopping to scrape down the sides as needed. | Spread a thin layer of the veggie sauce over the parbaked pizza crust to the crust edges. Top evenly with the mozzarella, Parmesan, and pepperoni. | Return to the oven, and bake for 10–12 minutes, until the cheese is melted and bubbly with golden brown edges. | Let cool slightly, about 5 minutes. Cut into squares, and serve. | All your favorite recipes, stored in one place. Download the Tasty app and never lose a recipe again.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
Guacamole Tostadas,https://tasty.co/recipe/guacamole-tostadas,,,"3 tablespoons minced white onion | 2 tablespoons minced fresh cilantro | ½ jalapeño, minced | Juice from 2 limes, plus lime wedges for serving | Heavy pinch of kosher salt | 4 Avocado From Mexicoes | 6 tostadas | ½ cup thinly sliced red cabbage | ½ cup drained and rinsed canned black beans | 6 Radishes, thinly sliced | ½ cup diced tomatoes | ¼ cup diced red onion | 1 handful of fresh cilantro leaves | 1 jalapeño, thinly sliced | ½ cup crumbled queso fresco | ½ cup crema","Make the guacamole: Place the onion, cilantro, jalapeño, lime juice, and salt in a molcajete. Pound into a rough paste. Cut the avocados in half, and remove the pits. Scoop out the flesh into the molcajete. Mash everything together into a chunky guacamole. Taste for seasoning, and add more salt or lime juice if necessary. | Make the tostadas: Spread a large spoonful of guacamole onto each tostada. Top evenly with the cabbage, beans, radishes, tomatoes, onion, cilantro, jalapeño, queso fresco, and crema. Serve with lime wedges. | Enjoy! | Busy? Plan your meals for the week using our exclusive meal planner tool in the Tasty app. Download now and get organized.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
Mango Mochi,https://tasty.co/recipe/mango-mochi,,,"2 tablespoons granulated sugar | ⅓ cup , plus 1 tablespoon water, divided | ⅔ cup mochiko (glutinous rice flour), divided | 1 large ripe mango | ⅓ cup unsweetened coconut flakes, (optional)","Place the sugar, ⅓ cup of the water, and ⅓ cup of the flour in a microwaveable bowl. Using a small whisk or fork, whisk to fully combine the mixture. Cover the bowl with a microwaveable plate, and microwave on MEDIUM for 3 minutes, stopping every 60 seconds to uncover and stir the mixture. | While the mochi is cooking, peel the mango, and slice off the cheeks. Set aside. | Transfer the bowl of cooked mochi to the fridge, and chill until it’s cool enough to touch, about 10 minutes. | Sprinkle some of the remaining ⅓ cup flour over a cutting board or plate. Place the cooled mochi on top. Cut the mochi in half. | Lightly dust 1 mochi piece with some of the remaining flour, then roll it to about ⅛-inch thickness with your palms or a rolling pin. Place 1 of the mango cheeks on the center of the mochi piece, then wrap the mochi around it, and pinch closed. Repeat the process with the remaining mochi piece. | If desired, you can brush the remaining 1 tablesopon water on the mochi pieces, and roll them in coconut flakes. | Serve immediately, or place in the fridge, loosely covered, for up to 4 hours. | Enjoy! | Cook smarter, not harder. Use our AI chef Botatouille on the Tasty app. Download now.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
Air-Fryer Fried Rice,https://tasty.co/recipe/air-fryer-fried-rice,,,"½ lb boneless, skinless chicken thighs, cut into 1-inch cubes | 1 teaspoon kosher salt | ½ teaspoon garlic powder | ¼ teaspoon black pepper | Avocado oil cooking spray | 4 bacon slices, cut into 1-inch pieces | 1 (24-ounce) bag frozen cooked white rice | 1 cup frozen mixed veggies | ½ cup frozen cauliflower rice | 1 small red bell pepper, diced | 2 scallions, chopped | 3 tablespoons soy sauce | 2 tablespoons sesame oil | 3 large eggs, (optional)","Preheat a large air fryer to 400°F (200°C). | Place the chicken in the basket of the air fryer. Sprinkle chicken evenly with the salt, garlic powder, and pepper, then coat with cooking spray. Top the chicken evenly with the bacon pieces. Cook for 12–15 minutes, until the chicken is cooked through and the bacon is crispy, shaking the mixture once halfway through cook time. | Add the frozen rice, frozen veggies, red bell pepper, scallions, soy sauce, and sesame oil to the chicken mixture in the air fryer basket. Stir everything together to combine. | Cook for another 15 minutes, until the rice is hot and crispy around the edges, stirring halfway through. (If using the eggs, crack them directly on top of the rice. Cook for another 5 minutes, or until the egg whites are set but the yolks are still slightly runny. Using a spoon or spatula, break up the eggs. and mix them into the rice.) | Serve immediately. | Enjoy! | Ready for a smarter way to find recipes? Use Botatouille, our AI-powered food genius in the Tasty app. Download here","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
